Genename;irmer_blood_pre_CTR;irmer_blood_b30;irmer_blood_b180;irmer_blood_m180;irmer_blood_m30;hillmann_0_100_CTR;hillmann_15_5;hillmann_30_5;hillmann_75_100;hagiwara_hyphae;hagiwara_conidia;hagiwara_germ;hagiwara_deltaatfa;hagiwara_afs35_CTR;liu_ace1;liu_WT_CTR;kowalski_hyp_hrma_delta;kowalski_nor_hrma_delta;kowalski_hyp_EVOL;kowalski_nor_EVOL;kowalski_hyp_hrma_OE;kowalski_nor_hrma_OE;kowalski_hyp_hrma_REV;kowalski_nor_hrma_REV;kowalski_hyp_WT;kowalski_nor_WT_CTR;kurucz_CTR;kurucz_festarv;kurucz_oxstress;kurucz_festarv_oxstress;niu_myc_etoh_30_CTR;niu_myc_etoh_120;niu_myc_hode_30;niu_myc_hode_120;valero_WT_cas;valero_WT_CTR;valero_fhda_delta_cas;valero_fhda_delta;danion_akubku80_GPA;danion_akubku80_min;lind_mtfa_delta;lind_mtfa_CTR;lind2_vea_delta;lind2_vea_CTR;losada_t0_CTR;losada_t12;losada_t24;losada_t36;bowyer_a1160_noitra_CTR;bowyer_a1160_itra;bowyer_hapb_noitra;bowyer_hapb_itra;bowyer_29_noitra;bowyer_29_itra;furukawa_WT_noitra_CTR;furukawa_WT_itra;furukawa_nctb_noitra;furukawa_nctb_itra;furukawa_ncta_noitra;furukawa_ncta_itra
afu1g00350;4.11;4.29;6.22;6.56;3.94;0.3;0.85;0.38;1.07;0.13;9.87;0.85;0.01;0.01;0.14;0.37;0.1;0.05;0.11;0.05;0.1;0.03;0.11;0.01;0.21;0.02;0.02;0.02;0.05;0.26;0.05;0.01;0.02;0.01;1.39;6.1;0.66;3.15;27.57;0.06;28.5;44.13;15.58;20.24;0.41;4.69;7.67;7.52;3.33;5.19;121.43;129.69;2.14;3.78;6.72;8.31;3.03;2.28;1.06;1.81
afu1g14340;23.55;63.55;29.12;8.88;13.54;7.87;10.44;20.12;23.77;20.48;9.03;8.31;6.12;8.02;1.55;13.99;13.94;21.25;25.09;62.66;10.75;44.52;29;91.15;20.14;11.21;46.5;105.67;55.72;30.22;26.36;39.48;30.75;27.53;64.98;13.97;76.1;21.69;20.85;5.2;44.18;43.06;23.86;29.02;51.81;31.83;101.51;391.38;48.4;86.1;15.21;16.25;37.3;130.4;117.9;48.29;107.33;92.98;63.17;52.98
afu1g16040;12.4;16.17;10.77;3.95;7.79;0.02;0.02;0.03;0.01;152.77;1.81;0.37;0.72;1.77;8.79;9.84;0.79;13.09;10.3;39.48;1.3;13.21;1.42;30.72;0.84;6.7;3.71;11.35;8.85;12.17;4.68;4.15;2.76;2.14;0.02;0.05;0.01;0.02;0.01;0.01;0.15;0.74;0.44;0.52;0.09;0.01;0.06;0.25;0.03;0.05;3.76;0.95;0.05;0.11;0.07;0.01;0.08;0.04;0.03;0.03
afu1g17270;13.19;18.35;51.65;21.84;7.99;8.96;8.2;13.94;8.26;2.47;0.56;0.44;3.12;0.26;6.51;4.22;17.2;5.28;10.6;4.13;9.83;5.07;12.91;6.15;12.46;4.4;9.8;322.4;6.85;135.01;3.02;9.71;2.82;8.33;2.67;1.61;9.05;1.68;3.94;0.69;1.94;1.83;1.13;1.34;0.58;14.44;3.78;4.8;13.73;10.25;113.86;139.77;10.08;14.57;59.41;16.72;33.35;30.13;24.03;17.08
afu2g01270;16.52;22.67;29.98;4.94;6.43;0.81;2.49;2.27;0.91;9.11;19.42;8.91;19.93;52.44;3.1;12.3;6.18;2.86;0.75;2.11;2.31;3.51;4.09;2.8;4.43;1.54;6.44;10.83;7.22;7.2;3.65;3.02;4.65;4.4;2.46;2.16;3.05;1.7;12.19;1.04;15.13;20.04;9.95;11.8;9.16;3.34;9.2;8.31;2.74;5.02;4.95;7.73;3.15;5.5;3.07;3.19;10.59;6.86;3.91;6.02
afu3g02980;10.7;24.07;17.37;1.4;3.02;10.47;4.44;6.34;14.71;1.59;4.48;8.36;8.63;3.03;10.02;20.09;0.93;15.96;0.7;7.74;0.43;6.42;1.08;12.48;0.69;14.86;4.19;6.96;5.52;2.99;9.63;6.79;4.97;2.42;8.22;10.87;7.36;6.6;12.21;6.03;11.71;13.94;7.78;11.76;2.06;0.61;2.01;2.22;8.61;6.38;8.36;6.68;9.6;9.14;2.22;1.93;7.99;7.37;4.52;4.65
afu3g10820;27.94;111.4;30.29;13.19;34.32;36.86;20.1;19.24;43.6;16.97;40.03;4.84;16.15;25.4;47.66;38.17;1.97;14.92;3.16;27.96;1.45;8.87;2.21;21.55;2;20;28.63;65.36;29.39;4.3;14.01;7.51;9.05;4.22;66.61;53.49;28.42;36.95;8.35;30.97;34.45;37.22;19.79;26.35;7.94;4.69;11.19;13.75;62.94;32.03;86.25;55.61;36.16;27.8;67.79;11.96;10.26;47.14;22.12;5.81
afu4g03940;92.33;36.37;39.65;54.64;53.8;6.14;3.76;5.38;7.79;1111.79;107.41;14.89;16.57;19.11;3.07;9.45;4.95;3.44;1.3;5.74;1.98;3.28;3.78;3.75;5.49;4.32;579.83;10.53;367.27;3.21;2.4;2.17;2.43;4.09;4.07;6.04;3.66;48.43;12.09;2.05;445.36;481.48;231.67;261.25;10;36.49;13.28;17.38;139.38;41.44;23.56;14.43;65.72;250.96;7.56;10.57;230.49;270.45;89.96;72.59
afu5g14940;4.93;12.17;7.57;0.3;0.68;1.27;5.73;3.17;1.24;45.02;2.09;0.95;0.01;1.07;3.95;1.04;0.01;0.28;0.57;7.47;2.27;24.5;0.32;22.16;0.01;0.18;0.25;1.13;0.92;1.04;0.4;0.24;0.44;0.24;0.4;0.31;0.11;0.57;7.45;0.23;17.35;21.7;19.45;15.34;0.91;0.33;1.69;0.77;1.41;1.32;142.95;39.26;1.02;1.04;0.57;0.21;1;0.99;0.57;0.38
afu6g02170;44.94;52.3;62.93;3.38;6.58;29.45;41.62;38.62;39.26;16.43;4.24;3.93;4.2;2.06;31.75;20.1;0.45;20.08;0.19;3.56;0.02;0.96;0.37;1.7;0.64;22.98;10.99;53.24;14.61;2.7;5.64;4.5;4.18;2.78;30.83;55.09;5.66;34.3;8.16;3.41;33.13;35.19;17.22;27.42;2.27;1.6;2.7;1.94;25.59;19.67;40.75;33.08;28.99;37.7;3.53;2.59;9.57;7.16;4.81;6.2
afu6g02820;24.98;40.71;32.3;3.43;12.96;19.68;13.73;18.5;17.3;452.3;112.68;100.78;7.13;41.53;29.35;33.35;0.46;14.4;0.34;10.68;0.43;13.78;0.89;12.89;0.95;15.21;30.02;18.23;45.1;12.1;14.33;6.45;8.12;3.64;12.31;7.52;13.17;24.01;41.14;7.36;116.35;144.73;69.78;73.87;7.14;14.38;13.92;15.64;32.52;15.05;16.52;13.13;28.77;62.83;4;7.75;74.8;46.96;23.91;29.76
afu6g13750;20.57;35.75;19.7;4.63;12.29;5.77;4.22;4.57;5.11;223.31;1.59;8.75;10.65;11.63;0.95;0.21;0.12;2.81;0.18;7.04;0.24;4.5;0.16;3.1;0.1;2.35;85.27;9.1;80.18;1.33;4.06;2.02;4.79;3.48;6.01;18.43;2.63;39.13;7.96;0.23;19.82;23.96;10.44;6.14;2.55;11.15;4.06;5;48.53;12.35;35.24;27.43;19.83;78.68;7.66;16.14;208.32;96.71;45.64;103.84
afu7g04970;18.22;22.7;23.69;0.5;2.72;0.77;1.19;1.97;1.5;0.59;0.62;0.06;1.59;0.26;0.56;0.73;0.81;1.59;0.43;8.93;0.33;2.1;0.35;4.94;0.74;1.15;1.42;8.29;2.47;1;2.93;1.04;3.92;1.53;5.89;0.63;3.48;0.31;2.41;0.29;3.09;3.55;2.23;3.13;3.41;0.52;12.03;40.94;0.85;2.31;1.47;2.93;1.11;2.51;1.88;1.38;3.1;1.52;1.1;1.86
afu8g01310;9.01;11.3;14.99;0.55;0.55;0.02;0.04;0.11;0.15;1277.93;3.78;0.53;4.57;2.99;1.34;0.4;0.03;0.02;0.01;0.06;0.02;0.01;0.01;0.03;0.02;0.01;31.97;0.3;11.56;0.11;0.08;0.11;0.03;0.07;0.14;0.23;0.02;0.85;4.19;0.03;1.8;1.7;3.92;0.63;0.63;4.78;2.83;4.42;0.86;0.41;0.55;0.55;1.41;9.27;0.38;0.34;6.18;5.19;1.68;1.89
afu8g06210;0.04;0.13;0.02;0.01;0.03;12.61;11.39;10.09;12.1;6.87;26.16;10.12;0.01;0.31;1.8;11.18;0.07;0.04;0.03;0.09;0.02;0.01;0.01;0.03;0.01;0.01;1.31;2.64;1.93;2.76;0.88;0.57;0.66;0.62;3.58;6.73;4.06;6.11;2.43;4.92;75.97;77.97;27.05;48.92;13.62;6.36;15.76;14.13;17.56;16.14;31.38;27.41;18.35;19.38;5.01;4.74;12.73;12.85;7.44;6.77
